date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:39	45404/45404	---M-Z	200	added ('OK')	application/x-font-ttf	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/dequinox/www.dequinox.in/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://www.dequinox.in/bootstrap/css/bootstrap.min.css)
00:09:45	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://www.dequinox.in/bootstrap/css/bootstrap.min.css)
00:09:52	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://www.dequinox.in/css/plagin-css/grabbing.png	C:/My%20Web%20Sites/dequinox/www.dequinox.in/css/plagin-css/grabbing.png	(from http://www.dequinox.in/css/plagin-css/owl.carousel.css)
00:09:59	61716/61716	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/icons/rik-icons/fonts/rik.eot	C:/My%20Web%20Sites/dequinox/www.dequinox.in/icons/rik-icons/fonts/rik.eot	(from http://www.dequinox.in/icons/rik-icons/styles.css)
00:10:05	29296/29296	---M--	200	added ('OK')	application/font-woff	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/icons/rik-icons/fonts/rik.woff	C:/My%20Web%20Sites/dequinox/www.dequinox.in/icons/rik-icons/fonts/rik.woff	(from http://www.dequinox.in/icons/rik-icons/styles.css)
00:10:07	61716/61716	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/icons/rik-icons/fonts/rik.eot?	C:/My%20Web%20Sites/dequinox/www.dequinox.in/icons/rik-icons/fonts/rikd41d.eot	(from http://www.dequinox.in/icons/rik-icons/styles.css)
00:10:11	61568/61568	---M-Z	200	added ('OK')	application/x-font-ttf	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/icons/rik-icons/fonts/rik.ttf	C:/My%20Web%20Sites/dequinox/www.dequinox.in/icons/rik-icons/fonts/rik.ttf	(from http://www.dequinox.in/icons/rik-icons/styles.css)
00:10:17	155397/155397	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/icons/rik-icons/fonts/rik.svg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/icons/rik-icons/fonts/rik.svg	(from http://www.dequinox.in/icons/rik-icons/styles.css)
00:10:37	121260/121260	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/bootstrap1/css/bootstrap.min.css	C:/My%20Web%20Sites/dequinox/www.dequinox.in/bootstrap1/css/bootstrap.min.css	(from http://www.dequinox.in/nukkad.html)
00:10:42	6545/6545	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/css1/plagin-css/owl.carousel.css	C:/My%20Web%20Sites/dequinox/www.dequinox.in/css1/plagin-css/owl.carousel.css	(from http://www.dequinox.in/nukkad.html)
